,id,country,geolocation,level,adm1,location,disastertype,continent
0,109,Albania,Ana E Malit,3,Shkoder,Ana E Malit,flood,Europe
1,109,Albania,Bushat,3,Shkoder,Bushat,flood,Europe
2,175,Angola,Onjiva,3,Cunene,Onjiva,flood,Africa
3,187,Angola,Evale,3,Cunene,Evale,flood,Africa
4,187,Angola,Mupa,3,Cunene,Mupa,flood,Africa
5,187,Angola,Onjiva,3,Cunene,Onjiva,flood,Africa
6,189,Angola,Evale,3,Cunene,Evale,flood,Africa
7,189,Angola,Mupa,3,Cunene,Mupa,flood,Africa
8,527,Bangladesh,Hatiya,3,Chittagong,Hatiya,storm,Asia
9,533,Bangladesh,Ghatail,3,Dhaka,Ghatail,storm,Asia
10,533,Bangladesh,Gopalpur,3,Dhaka,Gopalpur,storm,Asia
11,533,Bangladesh,Kalihati,3,Dhaka,Kalihati,storm,Asia
12,533,Bangladesh,Mirzapur,3,Dhaka,Mirzapur,storm,Asia
13,533,Bangladesh,Sarishabari,3,Dhaka,Sarishabari,storm,Asia
14,539,Bangladesh,Maheshkhali,3,Chittagong,Moheshkali,storm,Asia
15,568,Bangladesh,Hathazari,3,Chittagong,Hathazari,flood,Asia
16,568,Bangladesh,Patiya,3,Chittagong,Patiya,flood,Asia
17,568,Bangladesh,Satkania,3,Chittagong,Satkania,flood,Asia
18,593,Bangladesh,Burichang,3,Chittagong,Burichang,flood,Asia
19,593,Bangladesh,Chauddagram,3,Chittagong,Chouddogram,flood,Asia
20,610,Bangladesh,Kanaighat,3,Sylhet,Kanaighat,flood,Asia
21,610,Bangladesh,Zakiganj,3,Sylhet,Zakiganj,flood,Asia
22,621,Bangladesh,Banshkhali,3,Chittagong,Banshkhali,storm,Asia
23,621,Bangladesh,Maheshkhali,3,Chittagong,Moheshkhali,storm,Asia
24,621,Bangladesh,Ramu,3,Chittagong,Ramu,storm,Asia
25,621,Bangladesh,Satkania,3,Chittagong,Satkania,storm,Asia
26,635,Bangladesh,Companiganj,3,Chittagong,Companiganj,storm,Asia
27,635,Bangladesh,Hatiya,3,Chittagong,Hatiya,storm,Asia
28,692,Belgium,Dinant,3,Wallonie,Dinant,flood,Europe
29,746,Bolivia,Papel Pampa,3,La Paz,Papel Pampa,flood,South America
30,746,Bolivia,San Pedro De Curahuara,3,La Paz,San Pedro de Curahuara,flood,South America
31,756,Bosnia And Herzegovina,Bugojno,3,Federacija Bosna I Hercegovina,Bugojno,flood,Europe
32,756,Bosnia And Herzegovina,Jajce,3,Federacija Bosna I Hercegovina,Jajce,flood,Europe
33,757,Bosnia And Herzegovina,Bugojno,3,Federacija Bosna I Hercegovina,Bugojno,flood,Europe
34,757,Bosnia And Herzegovina,Donji Vakuf,3,Federacija Bosna I Hercegovina,Donji Vakuf,flood,Europe
35,757,Bosnia And Herzegovina,Jezero,3,Repuplika Srpska,Jezero,flood,Europe
36,757,Bosnia And Herzegovina,Lukavac,3,Federacija Bosna I Hercegovina,Lukavac,flood,Europe
37,757,Bosnia And Herzegovina,Maglaj,3,Federacija Bosna I Hercegovina,Maglaj,flood,Europe
38,757,Bosnia And Herzegovina,Prijedor,3,Repuplika Srpska,Prijedor,flood,Europe
39,757,Bosnia And Herzegovina,Prnjavor,3,Repuplika Srpska,Prnjavor,flood,Europe
40,757,Bosnia And Herzegovina,Sanski Most,3,Federacija Bosna I Hercegovina,Sanski Most,flood,Europe
41,757,Bosnia And Herzegovina,Srbac,3,Repuplika Srpska,Srbac,flood,Europe
42,757,Bosnia And Herzegovina,Travnik,3,Federacija Bosna I Hercegovina,Travnik,flood,Europe
43,758,Bosnia And Herzegovina,Bosanska Krupa,3,Federacija Bosna I Hercegovina,Bosanska Krupa,flood,Europe
44,758,Bosnia And Herzegovina,Novi Grad,3,Repuplika Srpska,Novi GRad,flood,Europe
45,758,Bosnia And Herzegovina,Prijedor,3,Repuplika Srpska,Prijedor,flood,Europe
46,758,Bosnia And Herzegovina,Sanski Most,3,Federacija Bosna I Hercegovina,Sanski Most,flood,Europe
47,759,Bosnia And Herzegovina,Neum,3,Federacija Bosna I Hercegovina,Neum municipality,flood,Europe
48,759,Bosnia And Herzegovina,Ravno,3,Federacija Bosna I Hercegovina,Ravno,flood,Europe
49,761,Bosnia And Herzegovina,Doboj East,3,Federacija Bosna I Hercegovina,Doboj Istok,flood,Europe
50,761,Bosnia And Herzegovina,Doboj South,3,Federacija Bosna I Hercegovina,Doboj Jug,flood,Europe
51,761,Bosnia And Herzegovina,Kalesija,3,Federacija Bosna I Hercegovina,Kalesija,flood,Europe
52,761,Bosnia And Herzegovina,Kladanj,3,Federacija Bosna I Hercegovina,Kladanj,flood,Europe
53,761,Bosnia And Herzegovina,Lukavac,3,Federacija Bosna I Hercegovina,Lukavac,flood,Europe
54,761,Bosnia And Herzegovina,Prijedor,3,Repuplika Srpska,Prijedor,flood,Europe
55,761,Bosnia And Herzegovina,Prnjavor,3,Repuplika Srpska,Prnjavor,flood,Europe
56,761,Bosnia And Herzegovina,Srebrenik,3,Federacija Bosna I Hercegovina,Srebrenik,flood,Europe
57,762,Bosnia And Herzegovina,Bratunac,3,Repuplika Srpska,Bratunac,flood,Europe
58,762,Bosnia And Herzegovina,Domaljevac-Samac,3,Federacija Bosna I Hercegovina,Domaljevac-Samac,flood,Europe
59,762,Bosnia And Herzegovina,Drvar,3,Federacija Bosna I Hercegovina,Drvar,flood,Europe
60,762,Bosnia And Herzegovina,Ravno,3,Federacija Bosna I Hercegovina,Ravno,flood,Europe
61,762,Bosnia And Herzegovina,Stolac,3,Federacija Bosna I Hercegovina,Stolac,flood,Europe
62,762,Bosnia And Herzegovina,Tomislavgrad,3,Federacija Bosna I Hercegovina,Tomislavgrad,flood,Europe
63,762,Bosnia And Herzegovina,Zvornik,3,Repuplika Srpska,Zvornik,flood,Europe
64,764,Bosnia And Herzegovina,Domaljevac-Samac,3,Federacija Bosna I Hercegovina,Somaljevac,flood,Europe
65,764,Bosnia And Herzegovina,Zenica,3,Federacija Bosna I Hercegovina,Zenica,flood,Europe
66,871,Brazil,Xerem,3,Rio De Janeiro,Xerem,flood,South America
67,872,Brazil,Xerem,3,Rio De Janeiro,Xerem,flood,South America
